id,location,survival_target,location_target,month_target,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
14,Clear Creek,juv_rear,Yolo Bypass,5,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
15,Upper Sacramento River,juv_rear,Battle Creek,5,4543,5209,3358,5164,3155,4275,4970,1779,1555,1435,1728,972,681,89,72,201,536,686,721,893.0000000000001
15,Battle Creek,juv_rear,Battle Creek,5,6,5,10.999999999999998,12,5,6,7,8,7,10,14,10,10,0,0,10,20,16,8,2
15,Clear Creek,juv_rear,Battle Creek,5,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
16,Upper Sacramento River,juv_rear,Clear Creek,5,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
16,Battle Creek,juv_rear,Clear Creek,5,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
16,Clear Creek,juv_rear,Clear Creek,5,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
17,Upper Sacramento River,juv_rear,Upper Sacramento River,6,4543,5209,3364,5177,3165,4310,5012,1783,1557,1441,1732,973,684,89,72,201,537,690,730,900
17,Battle Creek,juv_rear,Upper Sacramento River,6,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
17,Clear Creek,juv_rear,Upper Sacramento River,6,172,205,192,405,311,502,616,224,224,221,279,184,128,22,28,32,56,68,68,80
18,Upper Sacramento River,juv_rear,Upper-mid Sacramento River,6,4543,5209,3456,5361,3274,4330,5023,1904,1678,1619,1993,1158,829,103,85,221,614,784,800,1020
18,Battle Creek,juv_rear,Upper-mid Sacramento River,6,6,5,10.999999999999998,13,5,6,7,6,7,10,14,10.999999999999998,10,0,0,10,20,16,8,2
18,Clear Creek,juv_rear,Upper-mid Sacramento River,6,172,205,197,418,317,506,621,246,245,246,316,215,148,24,32,34,68,82,78,102
19,Upper Sacramento River,juv_rear,Lower-mid Sacramento River,6,4543,5209,3359,5167,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
19,Battle Creek,juv_rear,Lower-mid Sacramento River,6,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
19,Clear Creek,juv_rear,Lower-mid Sacramento River,6,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
20,Upper Sacramento River,juv_rear,Lower Sacramento River,6,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
20,Battle Creek,juv_rear,Lower Sacramento River,6,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
20,Clear Creek,juv_rear,Lower Sacramento River,6,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
21,Upper Sacramento River,juv_rear,Sutter Bypass,6,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
21,Battle Creek,juv_rear,Sutter Bypass,6,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
21,Clear Creek,juv_rear,Sutter Bypass,6,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
22,Upper Sacramento River,juv_rear,Yolo Bypass,6,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
22,Battle Creek,juv_rear,Yolo Bypass,6,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
22,Clear Creek,juv_rear,Yolo Bypass,6,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
23,Upper Sacramento River,juv_rear,Battle Creek,6,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
23,Battle Creek,juv_rear,Battle Creek,6,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
23,Clear Creek,juv_rear,Battle Creek,6,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
24,Upper Sacramento River,juv_rear,Clear Creek,6,4543,5209,3359,5164,3156,4277,4970,1779,1556,1435,1727,973,681,89,72,201,536,684,721,893.0000000000001
24,Battle Creek,juv_rear,Clear Creek,6,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
24,Clear Creek,juv_rear,Clear Creek,6,172,205,192,405,311,502,621,232,224,224,284,186,130,22,30,32,56,68,68,80
25,Upper Sacramento River,juv_rear,Upper Sacramento River,7,4543,5209,3369,5181,3167,4315,5015,1785,1557,1441,1734,973,684,95,83,201,548,699,737,919
25,Battle Creek,juv_rear,Upper Sacramento River,7,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
25,Clear Creek,juv_rear,Upper Sacramento River,7,172,205,192,405,311,502,616,224,224,221,279,184,128,22,28,32,56,66,68,80
26,Upper Sacramento River,juv_rear,Upper-mid Sacramento River,7,4543,5209,3366,5183,3169,4284,4981,1867,1662,1553,1883.9999999999998,1069,777,95,79,203,571,733,747.9999999999999,945
26,Battle Creek,juv_rear,Upper-mid Sacramento River,7,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
26,Clear Creek,juv_rear,Upper-mid Sacramento River,7,172,205,192,405,311,504,618,238,239,234,302,201,140,24,30,32,56,70,68,82
27,Upper Sacramento River,juv_rear,Lower-mid Sacramento River,7,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
27,Battle Creek,juv_rear,Lower-mid Sacramento River,7,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
27,Clear Creek,juv_rear,Lower-mid Sacramento River,7,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
28,Upper Sacramento River,juv_rear,Lower Sacramento River,7,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
28,Battle Creek,juv_rear,Lower Sacramento River,7,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
28,Clear Creek,juv_rear,Lower Sacramento River,7,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
29,Upper Sacramento River,juv_rear,Sutter Bypass,7,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
29,Battle Creek,juv_rear,Sutter Bypass,7,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
29,Clear Creek,juv_rear,Sutter Bypass,7,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
30,Upper Sacramento River,juv_rear,Yolo Bypass,7,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
30,Battle Creek,juv_rear,Yolo Bypass,7,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
30,Clear Creek,juv_rear,Yolo Bypass,7,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
31,Upper Sacramento River,juv_rear,Battle Creek,7,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
31,Battle Creek,juv_rear,Battle Creek,7,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
31,Clear Creek,juv_rear,Battle Creek,7,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
32,Upper Sacramento River,juv_rear,Clear Creek,7,4543,5209,3359,5164,3156,4277,4970,1779,1556,1435,1727,973,681,89,72,201,536,684,721,893.0000000000001
32,Battle Creek,juv_rear,Clear Creek,7,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
32,Clear Creek,juv_rear,Clear Creek,7,172,205,194,406,311,504,619,230,225,224,284,186,130,22,28,32,56,68,68,82
33,Upper Sacramento River,juv_rear,Upper Sacramento River,8,4543,5209,3369,5189,3170,4290,4987,1789,1557,1441,1734,976,684,89,74,201,540,690,736,915
33,Battle Creek,juv_rear,Upper Sacramento River,8,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
33,Clear Creek,juv_rear,Upper Sacramento River,8,172,205,192,405,311,502,616,226,224,221,279,184,128,22,28,32,56,66,68,80
34,Upper Sacramento River,juv_rear,Upper-mid Sacramento River,8,4543,5209,3366,5179,3170,4369,5077,1786,1557,1441,1734,973,683,89,72,201,537,701,743,903
34,Battle Creek,juv_rear,Upper-mid Sacramento River,8,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
34,Clear Creek,juv_rear,Upper-mid Sacramento River,8,172,205,192,405,311,511,629,226,225,221,279,184,128,22,28,32,56,68,68,80
35,Upper Sacramento River,juv_rear,Lower-mid Sacramento River,8,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
35,Battle Creek,juv_rear,Lower-mid Sacramento River,8,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
35,Clear Creek,juv_rear,Lower-mid Sacramento River,8,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
36,Upper Sacramento River,juv_rear,Lower Sacramento River,8,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
36,Battle Creek,juv_rear,Lower Sacramento River,8,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
36,Clear Creek,juv_rear,Lower Sacramento River,8,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
37,Upper Sacramento River,juv_rear,Sutter Bypass,8,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
37,Battle Creek,juv_rear,Sutter Bypass,8,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
37,Clear Creek,juv_rear,Sutter Bypass,8,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
38,Upper Sacramento River,juv_rear,Yolo Bypass,8,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
38,Battle Creek,juv_rear,Yolo Bypass,8,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
38,Clear Creek,juv_rear,Yolo Bypass,8,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
39,Upper Sacramento River,juv_rear,Battle Creek,8,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
39,Battle Creek,juv_rear,Battle Creek,8,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
39,Clear Creek,juv_rear,Battle Creek,8,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
40,Upper Sacramento River,juv_rear,Clear Creek,8,4543,5209,3359,5164,3156,4277,4970,1779,1556,1435,1728,973,681,89,72,201,536,684,721,893.0000000000001
40,Battle Creek,juv_rear,Clear Creek,8,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
40,Clear Creek,juv_rear,Clear Creek,8,172,205,194,408,313,504,619,228,225,223,283,186,130,22,30,32,56,68,68,82
41,Upper Sacramento River,juv_rear,Upper Sacramento River,9,4543,5209,3393,5320,3303,4294,4984,1798,1574,1456,1749,993.0000000000001,695,93,79,201,543,695,737,938
41,Battle Creek,juv_rear,Upper Sacramento River,9,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
41,Clear Creek,juv_rear,Upper Sacramento River,9,172,205,192,405,311,502,615,226,224,221,279,184,128,22,28,32,56,66,68,80
42,Upper Sacramento River,juv_rear,Upper-mid Sacramento River,9,4543,5209,3370,5187,3211,4535,5226,1792,1557,1441,1734,973,684,89,72,201,537,707,754,914
42,Battle Creek,juv_rear,Upper-mid Sacramento River,9,6,5,10.999999999999998,12,5,6,8,6,5,10,12,10,8,0,0,8,16,14,6,2
42,Clear Creek,juv_rear,Upper-mid Sacramento River,9,172,205,194,406,315,531,648,228,225,223,283,184,128,22,28,32,56,68,68,80
43,Upper Sacramento River,juv_rear,Lower-mid Sacramento River,9,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
43,Battle Creek,juv_rear,Lower-mid Sacramento River,9,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
43,Clear Creek,juv_rear,Lower-mid Sacramento River,9,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
44,Upper Sacramento River,juv_rear,Lower Sacramento River,9,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
44,Battle Creek,juv_rear,Lower Sacramento River,9,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
44,Clear Creek,juv_rear,Lower Sacramento River,9,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
45,Upper Sacramento River,juv_rear,Sutter Bypass,9,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
45,Battle Creek,juv_rear,Sutter Bypass,9,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
45,Clear Creek,juv_rear,Sutter Bypass,9,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
46,Upper Sacramento River,juv_rear,Yolo Bypass,9,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
46,Battle Creek,juv_rear,Yolo Bypass,9,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
46,Clear Creek,juv_rear,Yolo Bypass,9,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
47,Upper Sacramento River,juv_rear,Battle Creek,9,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
47,Battle Creek,juv_rear,Battle Creek,9,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
47,Clear Creek,juv_rear,Battle Creek,9,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
48,Upper Sacramento River,juv_rear,Clear Creek,9,4543,5209,3359,5164,3156,4275,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
48,Battle Creek,juv_rear,Clear Creek,9,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
48,Clear Creek,juv_rear,Clear Creek,9,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
49,Upper Sacramento River,juv_rear,Upper Sacramento River,10,4543,5209,3362,5180,3173,4280,4973,1779,1556,1437,1729,973,684,89,74,201,540,690,724,900
49,Battle Creek,juv_rear,Upper Sacramento River,10,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
49,Clear Creek,juv_rear,Upper Sacramento River,10,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,66,68,80
50,Upper Sacramento River,juv_rear,Upper-mid Sacramento River,10,4543,5209,3481,5435,3339,4383,5053,1789,1566,1451,1740,981,690,93,79,201,543,708,768,945
50,Battle Creek,juv_rear,Upper-mid Sacramento River,10,6,5,10.999999999999998,13,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
50,Clear Creek,juv_rear,Upper-mid Sacramento River,10,172,205,203,435,335,518,631,230,229,224,288,190,131,24,32,32,58,72,72,90
51,Upper Sacramento River,juv_rear,Lower-mid Sacramento River,10,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
51,Battle Creek,juv_rear,Lower-mid Sacramento River,10,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
51,Clear Creek,juv_rear,Lower-mid Sacramento River,10,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
52,Upper Sacramento River,juv_rear,Lower Sacramento River,10,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
52,Battle Creek,juv_rear,Lower Sacramento River,10,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
52,Clear Creek,juv_rear,Lower Sacramento River,10,172,205,192,405,311,502,618,226,224,221,279,184,128,22,28,32,56,68,68,80
53,Upper Sacramento River,juv_rear,Sutter Bypass,10,4543,5209,3359,5164,3156,4277,4970,1779,1556,1437,1728,973,681,89,72,201,536,684,721,893.0000000000001
53,Battle Creek,juv_rear,Sutter Bypass,10,6,5,10.999999999999998,12,5,6,7,6,5,10,12,10,8,0,0,8,16,14,6,2
